NumClients,DataSize,RingDimension,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_PartialDec_ms,T_MaskGen_ms,T_ClientTotal_ms
200,65536,131072,79,62.2976,0.701336,62.9989,118.722,35.3729,2607.61,2761.7
200,65536,131072,80,62.2422,0.697089,62.9393,117.479,34.1972,2579.92,2731.6
200,65536,131072,81,61.4136,0.700074,62.1137,120.94,36.0132,2658.02,2814.97
200,65536,131072,82,62.2155,0.712195,62.9277,118.984,34.6281,2611.74,2765.35
200,65536,131072,83,62.6834,0.701997,63.3854,118.442,35.1302,2612.9,2766.47
200,65536,131072,84,62.1907,0.757945,62.9486,120.327,34.7925,2615.05,2770.17
200,65536,131072,85,61.8993,0.731217,62.6305,119.59,34.5379,2597.21,2751.33
200,65536,131072,86,64.1614,0.739162,64.9006,117.889,35.0335,2584.62,2737.55
200,65536,131072,87,62.3348,0.729385,63.0642,120.964,36.0271,2671.72,2828.71
200,65536,131072,88,62.2642,0.779422,63.0437,118.391,34.2087,2599.83,2752.43
200,65536,131072,89,61.4671,0.694814,62.1619,118.838,35.2432,2574.77,2728.85
200,65536,131072,90,61.6623,0.69783,62.3601,117.977,34.3812,2575.7,2728.06
200,65536,131072,91,62.2481,0.717995,62.9661,117.462,34.7203,2620.67,2772.85
200,65536,131072,92,62.207,0.714068,62.9211,122.507,36.2757,2626.19,2784.97
200,65536,131072,93,61.677,0.717253,62.3943,118.218,34.966,2605.83,2759.01
200,65536,131072,94,61.2311,0.705649,61.9367,119.684,38.1825,2554.61,2712.48
200,65536,131072,95,60.8736,0.705879,61.5795,120.442,36.5911,2658.04,2815.08
200,65536,131072,96,61.3118,0.716458,62.0283,121.558,36.2497,2697.27,2855.07
200,65536,131072,97,60.9241,0.692716,61.6168,119.849,35.3668,2647.89,2803.11
200,65536,131072,98,61.2044,0.706561,61.911,119.028,34.312,2561.21,2714.54
200,65536,131072,99,61.5137,0.680896,62.1946,121.308,36.3857,2616.05,2773.74
200,65536,131072,100,60.7899,0.709887,61.4998,118.401,34.5225,2570.02,2722.94
200,65536,131072,101,61.081,0.697477,61.7785,119.874,35.5804,2621.32,2776.77
200,65536,131072,102,63.706,0.716881,64.4229,118.495,34.5177,2610.16,2763.17
200,65536,131072,103,62.5859,0.721781,63.3077,118.229,34.7088,2562.65,2715.58
200,65536,131072,104,62.1217,0.6984,62.8201,120.442,35.0879,2570.36,2725.89
200,65536,131072,105,61.4802,0.702649,62.1828,121.335,35.4153,2649.78,2806.53
200,65536,131072,106,65.1724,0.732486,65.9048,118.37,34.9744,2610.54,2763.89
200,65536,131072,107,72.8203,0.709835,73.5301,120.47,34.9213,2577.21,2732.6
200,65536,131072,108,72.9008,0.706167,73.607,121.833,35.4432,2602.72,2760
200,65536,131072,109,72.9445,0.720043,73.6645,127.446,36.6501,2587.14,2751.24
200,65536,131072,110,70.0654,0.715634,70.781,123.482,35.9336,2577.32,2736.74
200,65536,131072,111,69.488,0.688753,70.1768,121.587,35.9491,2585.91,2743.44
200,65536,131072,112,69.0102,0.699758,69.71,127.353,38.329,2588.53,2754.21
200,65536,131072,113,69.3147,0.691239,70.006,125.84,39.0485,2567.29,2732.18
200,65536,131072,114,69.3479,0.712947,70.0608,124.295,37.7141,2606.62,2768.63
200,65536,131072,115,68.7782,0.695389,69.4735,120.916,38.1826,2624.38,2783.48
200,65536,131072,116,69.092,0.685291,69.7773,124.642,38.2232,2542.71,2705.58
200,65536,131072,117,71.2927,0.709657,72.0023,121.778,37.3321,2600.36,2759.47
200,65536,131072,118,69.8903,0.688951,70.5792,120.103,37.0929,2631.28,2788.47
200,65536,131072,119,69.7287,0.716649,70.4453,121.087,36.3033,2595.22,2752.61
200,65536,131072,120,69.5706,0.690471,70.2611,119.463,34.4728,2542.88,2696.82
200,65536,131072,121,69.6329,0.701554,70.3344,117.619,35.2095,2613.36,2766.19
200,65536,131072,122,68.8984,0.677828,69.5762,122.926,35.5147,2666.79,2825.23
200,65536,131072,123,68.7898,0.697703,69.4875,119.132,35.0911,2571.12,2725.35
200,65536,131072,124,69.3961,0.679424,70.0755,117.482,34.3186,2577.56,2729.36
200,65536,131072,125,69.0011,0.727167,69.7282,125.243,41.6755,2579.76,2746.68
